Venue name,Address
Aion,Hipólito Yrigoyen 1115
Area Neutral,Perú 535
Aruba,Av. Rivadavia 2338
Auditorio Maxi,Carlos Pellegrini 657
Autódromo de Bs As,Av. Coronel Roca 6902
Ave Porco,Av. Corrientes 1984
Bar Sarajevo,Defensa 827
Bunker,Gascón 1040
Caix,Av. Costanera Rafael Obligado 1221
Caniche,Uruguay 142
Cartujas,Av. De Mayo 432 (Ramos Mejía)
Casa Suiza,Rodríguez Peña 252-254
Castrum,Av. Carlos Casares 381 (Rafael Castillo)
Cecilio,Av. Jujuy 1130
Cemento,Estados Unidos 1240
Centro Cultural Recoleta,Junín 1930
Centro Municipal de Exposiciones,Av. Figueroa Alcorta 2099
Ciudad Gótica,Av. Rivadavia 1910
Club Atlanta,Humboldt 300
Club X,Rodriguez Peña 360
Clubzone,Av. Rivadavia 14328 (Ramos Mejía)
Cómodor,Niceto Vega 5956
Complejo Maybe,Av. Gaona 7521 (Ituzaingó)
Costanera Norte,Av. Costanera Rafael Obligado 1221
Costanera Sur,Av. Dr. Tristán Achával Rodríguez 1401
Crazy House,Pasaje Dellepiane 657
D'Light,Aráoz 2424
Die Schule,Alsina 1671
Dique 4 Puerto Madero,Pierina Dealessi 508
El Anexo,Rivadavia 878
El Chaval,Av. Gaona 431 (Haedo)
El Cielo,Av. Costanera y Sarmiento
El Dorado,Hipólito Irigoyen 947
El Living,Marcelo T. de Alvear al 1500
El Odeón,Av. Casares y Av. Sarmiento
El Ojo,Av. Federico Lacroze 2620
El Pantheon,Av. De Mayo 948
El Planetario,Av. Sarmiento
El Santo,
El Sótano,Pte. Perón 1372
El Templo,Av. Gaona 2800 (Haedo)
Elsieland,Calchaquí 3085 (Quilmes)
Estadio Obras,Av. Del Libertador 7395
Fellini,Bartolomé Mitre 1851
Fifth Avenue,Cabildo y Juramento
Filo,San Martin 975
Flowers,Av. Rivadavia 16260 (Haedo)
Frere,Olleros 1775
Fundación Banco Patricios ,Av. Callao y Sarmiento
Goethe Institut,Av. Corrientes 319
Hell's,Mitre 23 (Ramos Mejía)
Hook,Av. Federico Lacroze 2988
K2,Viamonte 865
Kilkenny,Marcelo Torcuato de Alvear 399
L'Inferno,Alsina 940
La Argentina,Armenia 1740
La Cigale,25 de Mayo 722
La Embajada,Scalabrini Ortiz 56
La France,Sarmiento 1662
La Ideal,Suipacha 384
La Morocha,Dorrego y Libertador
Lagarto,Ameghino 681 (Avellaneda)
Lipsy,Av. de los Incas 4370
Lisboa,Bartolomé Mitre 1851
Loca Bohemia,Av. La Plata 727
Luna Park,Bouchard 475
Millenium,
Morocco,Hipólito Yrigoyen 851
Museo de Arte Moderno,San Juan 350
Museum,Perú 535
Nave Jungla,Nicaragua 4346
Naxos,
New Freedom,Avenida del Libertador y Paroissien
New Order,Av. Cabildo 4663
Noches Alternativas,
Nuevo Lipsy,Av. Federico Lacroze 2620
Nuevo Parakultural,Perú 571
Nuevo Requiem,Av. De Mayo 948
Oval,Maipú 979
Ozono,Uruguay 142
Pachá,Av. Costanera Rafael Obligado 6311
Palacio Bencich,Maipú 972
Parakultural,Chacabuco 1072
Parque Sarmiento,Av. Dr. Ricardo Balbín 4750
Planet,Vicente Lopez
Predio Retiro,Av. Antártida Argentina 1160
Puente Mitre,Av. Casares y Av. Sarmiento
Requiem,Viamonte 865
Retro,Av. Rivadavia y Pergamino
River Plate,Av. Figueroa Alcorta 7597
Roxy,Av. Rivadavia 1908
Shamrock,Rodríguez Peña 1220
Sociedad de Fomento La Florida,Calle 883 y Av. 844 (Solano)
Stuttgart,Av. Rivadavia 14318 (Ramos Mejía)
Taj Mahal,
Teachers,Av. Gaona y Richieri (Ramos Mejía)
Teatro del Plata,Av. Juan Bautista Alberdi 5765
Teatro Leopoldo Marechal,Belgrano 75 (Ramos Mejía)
Teatro Lola Membrives,Av. Corrientes 1280
Teatro Opera,Av. Corrientes 860
Teatro Santa María,Montevideo 842
The Age of Communication,Marcelo T. de Alvear 405
The Probe,Hipólito Yrigoyen 3750
UNLM,Florencio Varela 1903 (San Justo)
Vélez Sarsfield,Av. Juan B. Justo 8900
